iter	RMSE
0	381993.7786
1	378040.8142
2	374277.4853
3	370619.2871
4	366964.2534
5	363402.2248
6	359849.9536
7	356366.1481
8	353069.0818
9	349825.6244
10	346542.2044
11	343344.328
12	340225.9303
13	337131.8149
14	334085.7644
15	331059.6746
16	328046.9634
17	325133.9017
18	322338.377
19	319449.3506
20	316749.0306
21	314136.6445
22	311482.1008
23	308846.0745
24	306269.0084
25	303815.2087
26	301361.6268
27	298917.6461
28	296650.0655
29	294297.1313
30	291935.7091
31	289699.6452
32	287614.9062
33	285584.6119
34	283390.3523
35	281343.6507
36	279293.1267
37	277228.5542
38	275276.578
39	273343.3891
40	271328.2803
41	269544.5217
42	267825.781
43	266043.5555
44	264194.4758
45	262474.7219
46	260784.3735
47	259069.7412
48	257419.8186
49	255736.1503
50	254181.4565
51	252641.4486
52	251097.8753
53	249543.6904
54	248176.6155
55	246708.8878
56	245274.268
57	243895.7226
58	242561.0095
59	241304.6731
60	239962.6788
61	238713.8112
62	237439.0574
63	236245.8904
64	235065.0929
65	233910.2302
66	232798.1699
67	231632.444
68	230492.1434
69	229307.7581
70	228157.1905
71	227061.6628
72	225993.7495
73	224994.1932
74	224061.4612
75	223045.0412
76	222125.3216
77	221147.6788
78	220161.0746
79	219291.1345
80	218485.6051
81	217630.5354
82	216715.7311
83	215855.3348
84	215025.5629
85	214126.0482
86	213287.6554
87	212480.6548
88	211634.4151
89	210814.9531
90	210015.1033
91	209270.9851
92	208535.8255
93	207814.0255
94	207054.3311
95	206405.8719
96	205718.0009
97	205089.8466
98	204440.1671
99	203819.9746
100	203232.6825
101	202636.9055
102	201965.3395
103	201375.8327
104	200793.8603
105	200256.3919
106	199720.8159
107	199157.3763
108	198631.7535
109	198108.9417
110	197588.3847
111	197091.6452
112	196577.1505
113	196093.6695
114	195552.6789
115	195087.523
116	194654.6421
117	194204.7617
118	193724.9731
119	193272.9756
120	192841.757
121	192370.2235
122	191942.1724
123	191530.2146
124	191108.0154
125	190766.9119
126	190364.3456
127	189945.2603
128	189569.0478
129	189223.5684
130	188849.2325
131	188431.8995
132	188040.9564
133	187637.9028
134	187348.3166
135	186990.5441
136	186634.3053
137	186319.5091
138	186036.2293
139	185737.2141
140	185373.8002
141	185072.7597
142	184750.8799
143	184448.339
144	184112.1679
145	183824.1219
146	183528.229
147	183234.2014
148	182933.012
149	182701.2609
150	182463.8883
151	182185.7056
152	181926.5043
153	181626.5285
154	181366.5402
155	181141.548
156	180863.9072
157	180677.7233
158	180466.8282
159	180228.6422
160	180014.5965
161	179772.4581
162	179512.7512
163	179311.6163
164	179062.4476
165	178855.4077
166	178659.948
167	178435.2961
168	178221.2116
169	178035.496
170	177858.097
171	177681.0034
172	177474.3735
173	177265.4876
174	177079.0486
175	176900.1139
176	176695.8484
177	176508.944
178	176346.8348
179	176175.322
180	175985.3186
181	175816.3831
182	175635.5
183	175453.9363
184	175252.2447
185	175059.0119
186	174866.3527
187	174686.2874
188	174528.3873
189	174410.4583
190	174302.1763
191	174153.9523
192	174011.2323
193	173872.1303
194	173762.3524
195	173637.9376
196	173475.3424
197	173354.7065
198	173226.5908
199	173150.987
200	172990.9024
201	172861.1582
202	172766.0559
203	172612.6472
204	172467.3746
205	172337.7885
206	172191.1371
207	172044.972
208	171934.4268
209	171834.157
210	171691.0827
211	171589.556
212	171478.7731
213	171354.3212
214	171236.4455
215	171138.792
216	171020.7676
217	170914.581
218	170790.7155
219	170685.8166
220	170595.5797
221	170475.7641
222	170370.9041
223	170277.7639
224	170188.9617
225	170093.6194
226	170016.4482
227	169923.0527
228	169822.6886
229	169726.0223
230	169670.417
231	169593.2246
232	169488.8639
233	169414.5102
234	169331.1637
235	169228.7587
236	169138.7567
237	169049.242
238	168981.5851
239	168899.2353
240	168802.275
241	168709.6147
242	168626.1281
243	168569.9547
244	168491.5725
245	168413.1841
246	168299.4133
247	168218.5144
248	168137.7891
249	168047.1354
250	167981.5633
251	167906.4445
252	167849.8237
253	167774.3038
254	167721.547
255	167648.9975
256	167621.3412
257	167553.7239
258	167478.7948
259	167452.4278
260	167360.313
261	167277.9135
262	167215.3895
263	167147.6706
264	167101.282
265	167050.3789
266	166985.9186
267	166932.3168
268	166875.786
269	166863.0694
270	166826.5671
271	166785.2152
272	166749.7949
273	166724.017
274	166663.4834
275	166598.8317
276	166565.1644
277	166518.9944
278	166471.7682
