iter	Passed	Remaining
0	8	12744
1	16	12696
2	25	12529
3	32	12121
4	41	12346
5	49	12281
6	58	12519
7	67	12497
8	74	12306
9	82	12236
10	89	12167
11	97	12124
12	105	12042
13	111	11857
14	120	11961
15	129	11968
16	137	12024
17	145	11976
18	153	11964
19	161	11937
20	171	12078
21	181	12207
22	192	12359
23	202	12453
24	211	12465
25	221	12564
26	228	12481
27	236	12449
28	244	12425
29	253	12439
30	261	12389
31	269	12362
32	277	12350
33	286	12341
34	294	12307
35	301	12263
36	310	12277
37	318	12236
38	325	12205
39	333	12189
40	341	12157
41	349	12147
42	358	12151
43	368	12179
44	376	12166
45	385	12169
46	392	12147
47	402	12174
48	410	12156
49	418	12150
50	427	12146
51	436	12142
52	444	12133
53	453	12133
54	462	12152
55	472	12180
56	481	12187
57	490	12186
58	498	12177
59	506	12158
60	514	12143
61	523	12135
62	532	12142
63	541	12150
64	550	12145
65	558	12135
66	566	12118
67	574	12101
68	582	12083
69	590	12066
70	598	12055
71	608	12068
72	616	12043
73	624	12027
74	633	12033
75	641	12027
76	649	12001
77	657	11980
78	665	11978
79	674	11971
80	682	11958
81	691	11956
82	699	11940
83	707	11918
84	715	11903
85	722	11886
86	731	11876
87	738	11850
88	747	11843
89	755	11831
90	763	11827
91	771	11812
92	780	11808
93	788	11800
94	798	11814
95	807	11803
96	815	11801
97	825	11809
98	834	11814
99	844	11816
100	852	11806
101	859	11775
102	867	11770
103	875	11757
104	883	11742
105	892	11731
106	900	11726
107	908	11711
108	916	11697
109	925	11690
110	933	11680
111	943	11690
112	951	11684
113	960	11672
114	968	11658
115	975	11638
116	983	11628
117	991	11616
118	1000	11605
119	1008	11600
120	1016	11589
121	1025	11581
122	1033	11573
123	1041	11562
124	1050	11557
125	1058	11547
126	1067	11545
127	1076	11541
128	1084	11526
129	1092	11517
130	1101	11507
131	1109	11494
132	1117	11481
133	1125	11474
134	1134	11468
135	1142	11459
136	1151	11451
137	1158	11438
138	1167	11429
139	1176	11431
140	1184	11420
141	1193	11410
142	1201	11404
143	1210	11397
144	1219	11399
145	1228	11395
146	1236	11384
147	1245	11380
148	1253	11369
149	1262	11360
150	1269	11345
151	1277	11333
152	1285	11319
153	1294	11310
154	1301	11295
155	1309	11280
156	1317	11273
157	1325	11260
158	1333	11244
159	1341	11232
160	1348	11214
161	1356	11205
162	1364	11188
163	1372	11181
164	1380	11171
165	1388	11156
166	1398	11162
167	1406	11150
168	1414	11137
169	1422	11128
170	1430	11118
171	1438	11102
172	1446	11094
173	1454	11087
174	1463	11077
175	1472	11077
176	1481	11070
177	1488	11057
178	1496	11047
179	1506	11047
180	1515	11040
181	1523	11031
182	1531	11023
183	1539	11008
184	1547	10998
185	1556	10997
186	1564	10985
187	1572	10973
188	1580	10966
189	1589	10958
190	1597	10947
191	1605	10937
192	1613	10926
193	1621	10915
194	1629	10906
195	1637	10895
196	1645	10885
197	1653	10871
198	1663	10875
199	1674	10886
200	1684	10889
201	1693	10883
202	1702	10875
203	1710	10863
204	1713	10827
205	1723	10823
206	1731	10812
207	1749	10865
208	1757	10858
209	1766	10853
210	1776	10852
211	1786	10851
212	1795	10849
213	1803	10840
214	1845	11029
215	1857	11044
216	1874	11083
217	1882	11072
218	1892	11070
219	1901	11061
220	1910	11054
221	1918	11045
222	1926	11031
223	1936	11031
224	1944	11019
225	1954	11015
226	1962	11003
227	1971	10996
228	1979	10985
229	1986	10970
230	1994	10954
231	2002	10946
232	2011	10940
233	2020	10931
234	2029	10923
235	2037	10911
236	2045	10898
237	2053	10887
238	2062	10879
239	2071	10873
240	2079	10864
241	2092	10877
242	2101	10870
243	2110	10865
244	2118	10853
245	2127	10845
246	2135	10834
247	2144	10824
248	2152	10816
249	2161	10807
250	2169	10796
251	2176	10781
252	2186	10775
253	2194	10766
254	2203	10756
255	2211	10747
256	2219	10736
257	2229	10730
258	2237	10722
259	2246	10713
260	2254	10702
261	2263	10695
262	2273	10691
263	2281	10680
264	2289	10669
265	2299	10665
266	2307	10655
267	2315	10644
268	2324	10635
269	2333	10629
270	2341	10620
271	2350	10611
272	2359	10604
273	2368	10599
274	2378	10595
275	2387	10587
276	2396	10580
277	2404	10570
278	2414	10564
279	2422	10555
280	2430	10545
281	2438	10533
282	2448	10530
283	2457	10523
284	2466	10516
285	2469	10482
286	2477	10471
287	2487	10466
288	2496	10460
289	2505	10453
290	2514	10445
