,price,status,add_attr,state,lat,long,bath,bed,living,lot_a,fireplace,parking,covered,garage,total_spaces,subtype,year,sewer,water,app,heating,cooling,stories,materials,roof,foundation,interior
0,274000,4,1,4,40.67573,-73.82235,1,3,1556,2400.0,1,1,2,2,2,0,1930,0,1,4,1,1,1.5,8,4,4,8
1,270000,4,1,4,40.670036,-73.78045,2,4,1920,3998.0,1,0,2,2,2,0,1950,0,1,4,1,1,1.5,8,4,4,8
2,899000,4,1,4,40.524227,-74.21579,3,3,2532,6903.0,1,1,2,2,2,1,1899,1,1,4,1,1,2.0,8,4,4,8
3,1390000,4,1,4,40.721615,-73.820755,4,4,1915,2697.0,1,0,2,2,2,0,1945,0,1,4,1,1,1.5,8,4,4,8
4,1380000,4,1,4,40.60447,-73.94396,4,3,1800,2000.0,1,1,1,1,1,1,1930,1,1,4,1,1,2.0,8,4,4,8
5,599000,4,1,4,40.639286,-73.94126999999999,2,3,1344,1950.0,1,0,2,2,2,0,1925,0,1,4,1,1,1.5,8,4,4,8
6,1280000,4,1,4,40.622246,-74.01783,2,3,1422,2613.0,1,1,1,1,1,0,1920,0,1,4,1,1,1.5,8,4,4,8
7,899000,4,1,4,40.578552,-74.005196,3,4,2800,3000.0,1,0,2,1,2,0,1945,0,1,4,1,1,1.5,8,4,4,8
8,139000,4,1,4,40.779743,-73.84888000000001,1,2,2405,8914.857467980037,1,1,2,2,2,1,1986,1,1,4,1,1,1.5,8,4,4,8
9,599000,4,1,4,40.757385,-73.89842,3,3,2406,2140.0,1,1,2,2,2,1,1940,1,1,4,1,0,1.5,8,4,4,8
10,565000,4,1,4,40.68264,-73.78818000000001,2,3,1896,1951.0,1,1,2,2,2,0,1925,0,1,4,1,1,1.5,8,4,4,8
11,99999,4,1,4,40.6277,-74.17902,1,2,840,2100.0,1,1,2,2,3,1,1998,0,1,4,1,1,1.0,8,4,4,8
12,1198000,4,1,4,40.730324,-73.80073,3,3,2406,4800.0,1,1,1,1,1,1,1960,1,1,4,1,1,1.5,8,4,4,8
13,300000,4,1,4,40.695076,-73.79754,3,6,3120,2034.0,1,0,2,2,2,0,2005,0,1,4,1,1,1.5,8,4,4,8
14,350000,4,1,4,40.86147,-73.83964,2,4,2406,3325.0,1,1,2,2,2,1,1925,1,1,4,1,0,2.0,8,4,4,8
15,250000,4,1,4,40.683388,-73.78976999999999,2,4,2162,2308.0,1,1,2,2,2,0,1920,0,1,4,1,1,1.5,8,4,4,8
16,739000,4,1,4,40.613663,-73.93735500000001,2,3,1400,1745.0,1,0,2,2,2,0,1935,0,1,4,1,1,1.5,8,4,4,8
17,699000,4,1,4,40.571026,-74.12275,2,5,2066,4900.0,1,1,1,1,1,1,1915,1,1,4,1,1,2.0,8,4,4,8
