iter	RMSE
0	226075.8473
1	223859.4849
2	221686.6783
3	219634.2258
4	217562.0638
5	215525.0811
6	213591.0237
7	211661.134
8	209790.0548
9	207878.0214
10	206035.4873
11	204234.6396
12	202366.6374
13	200591.427
14	198861.2119
15	197125.2569
16	195455.561
17	193906.4563
18	192216.9068
19	190640.2402
20	189051.869
21	187501.7411
22	186096.5006
23	184670.4468
24	183181.6181
25	181737.5206
26	180396.4648
27	179019.8593
28	177733.1443
29	176486.0162
30	175209.8443
31	173957.07
32	172795.7009
33	171536.1566
34	170374.4585
35	169189.4469
36	167942.1798
37	166782.3847
38	165668.3661
39	164542.7448
40	163521.6935
41	162442.0903
42	161408.5103
43	160341.5003
44	159423.6473
45	158492.9083
46	157517.9365
47	156576.5794
48	155647.4741
49	154795.9426
50	153931.6284
51	153106.1246
52	152202.1657
53	151342.2727
54	150472.3331
55	149659.2792
56	148818.0885
57	147984.4164
58	147268.4964
59	146469.1714
60	145705.8472
61	145045.1344
62	144254.2299
63	143560.3404
64	142859.7034
65	142127.5519
66	141408.1772
67	140713.0776
68	139997.6505
69	139386.2774
70	138750.4
71	138108.4101
72	137477.0162
73	136856.0053
74	136271.7936
75	135721.0597
76	135128.3253
77	134547.6906
78	133993.9774
79	133517.5924
80	132996.2577
81	132561.0432
82	132084.7951
83	131573.7795
84	131092.376
85	130624.7479
86	130095.5973
87	129633.7438
88	129192.5058
89	128699.2537
90	128257.4733
91	127809.0619
92	127340.155
93	126896.8345
94	126492.2395
95	126095.0341
96	125661.8716
97	125246.525
98	124884.8051
99	124508.5808
100	124140.5906
101	123735.0749
102	123354.9327
103	122990.7551
104	122612.3758
105	122322.1958
106	121980.8939
107	121655.9466
108	121318.1771
109	120973.4794
110	120660.3741
111	120352.7909
112	120060.6435
113	119698.306
114	119380.0095
115	119106.1035
116	118808.735
117	118487.4458
118	118235.6189
119	117918.2399
120	117670.6461
121	117422.4111
122	117158.9754
123	116905.4397
124	116630.3334
125	116342.8792
126	116083.4806
127	115910.474
128	115660.1233
129	115397.9442
130	115203.8504
131	114958.1879
132	114777.2941
133	114568.9239
134	114317.6044
135	114146.01
136	113938.111
137	113715.4799
138	113513.7802
139	113268.7253
140	113060.8031
141	112865.4373
142	112657.2977
143	112492.4348
144	112281.3768
145	112078.0536
146	111898.5232
147	111709.8327
148	111520.4453
149	111352.7861
150	111178.8434
151	111024.6584
152	110854.7193
153	110662.2763
154	110526.1114
155	110341.9791
156	110189.4854
157	110007.779
158	109866.1543
159	109713.2655
160	109539.2193
161	109396.8691
162	109259.5956
163	109131.9637
164	109002.22
165	108866.986
166	108773.0171
167	108662.0562
168	108539.85
169	108387.8003
170	108255.3229
171	108135.2211
172	108033.333
173	107921.0525
174	107810.2903
175	107667.344
176	107532.5525
177	107400.0173
178	107277.8624
179	107172.2133
180	107081.8547
181	106948.2395
182	106835.7118
183	106721.6591
184	106606.4701
185	106493.7118
186	106380.1921
187	106269.1937
188	106144.4045
189	106033.5627
190	105928.4776
191	105852.1619
192	105753.2668
193	105658.5638
194	105556.0798
195	105465.8099
196	105374.2004
197	105291.8892
198	105203.641
199	105132.0895
200	105039.6199
201	104951.1951
202	104844.4463
203	104764.3155
204	104683.0955
205	104594.4061
206	104510.0049
207	104412.3761
208	104329.558
209	104237.6399
210	104175.7858
211	104117.7644
212	104057.5171
213	103958.5808
214	103894.9486
215	103814.3848
216	103739.202
217	103642.4158
218	103572.8384
219	103500.4035
220	103414.8412
221	103368.48
222	103298.4224
223	103210.255
224	103123.8902
225	103043.115
226	102984.3458
227	102930.8818
228	102875.135
229	102818.678
230	102744.4171
231	102671.8049
232	102658.7281
233	102580.7415
234	102508.9823
235	102445.3394
236	102385.8439
237	102327.4935
238	102264.2497
239	102203.0631
240	102133.092
241	102068.3251
242	102016.678
243	101953.8116
244	101909.314
245	101853.3851
246	101802.1722
247	101738.6962
248	101686.3849
249	101641.3785
250	101589.7622
251	101528.1956
252	101488.8111
253	101448.0186
254	101414.3345
255	101363.0898
256	101322.15
257	101282.311
258	101234.2236
259	101195.5537
260	101128.7645
261	101071.7191
262	101027.4774
263	100993.9468
264	100952.5658
265	100930.5688
266	100906.139
267	100854.816
268	100821.314
269	100792.8025
270	100740.8694
271	100690.1344
272	100657.9126
273	100603.0026
274	100558.3021
275	100528.3348
276	100482.3115
277	100450.2811
278	100398.8639
279	100358.8535
280	100315.0511
281	100265.5355
282	100222.8835
283	100169.3758
284	100143.97
285	100107.9996
286	100082.6405
287	100049.6638
288	100012.2393
289	99960.82252
290	99924.58977
291	99869.50899
292	99837.00775
293	99801.86623
294	99770.77389
295	99749.13028
296	99719.31483
297	99677.50568
298	99659.69043
299	99639.54846
300	99610.43284
301	99578.54137
302	99540.88624
303	99514.20178
304	99493.8138
305	99467.6903
306	99414.43307
307	99379.8675
308	99339.78085
309	99296.01853
310	99275.92639
311	99236.37123
312	99220.48728
313	99187.85168
314	99165.13102
315	99121.51207
316	99091.67821
317	99048.53344
318	99010.62152
319	98993.66183
320	98965.10828
321	98922.26874
322	98887.34144
323	98875.74704
324	98855.85541
325	98844.77279
326	98816.85363
327	98794.17925
328	98774.32955
329	98742.40587
330	98720.89378
331	98686.16671
332	98665.21952
333	98638.46036
334	98615.65979
335	98599.71383
336	98585.22542
337	98560.65354
338	98545.27468
339	98517.7446
340	98478.70041
341	98457.65011
342	98438.0081
