iter	Passed	Remaining
0	7	17988
1	14	18552
2	23	19845
3	30	19245
4	38	19431
5	49	20372
6	57	20374
7	64	20019
8	73	20481
9	87	21802
10	98	22393
11	110	22830
12	124	23874
13	134	23807
14	143	23717
15	153	23859
16	160	23480
17	169	23314
18	175	22961
19	184	22847
20	190	22543
21	201	22648
22	208	22424
23	216	22343
24	223	22139
25	231	22035
26	239	21893
27	246	21738
28	254	21664
29	261	21523
30	269	21435
31	277	21421
32	285	21374
33	293	21308
34	301	21254
35	309	21179
36	319	21287
37	328	21295
38	336	21204
39	343	21134
40	351	21070
41	358	20986
42	366	20919
43	373	20872
44	381	20818
45	388	20735
46	396	20683
47	403	20607
48	411	20564
49	418	20509
50	426	20480
51	433	20423
52	440	20347
53	448	20326
54	455	20257
55	462	20185
56	469	20121
57	476	20053
58	484	20042
59	490	19966
60	497	19901
61	505	19892
62	513	19865
63	520	19819
64	527	19750
65	534	19704
66	541	19675
67	549	19637
68	556	19590
69	563	19561
70	572	19583
71	580	19571
72	588	19550
73	595	19514
74	602	19485
75	610	19480
76	618	19450
77	625	19421
78	633	19409
79	641	19393
80	648	19368
81	654	19313
82	663	19327
83	670	19296
84	678	19268
85	685	19253
86	693	19242
87	700	19210
88	708	19203
89	716	19174
90	723	19153
91	730	19130
92	738	19112
93	746	19115
94	753	19072
95	760	19042
96	768	19046
97	776	19029
98	784	19025
99	793	19043
100	800	19010
101	808	19009
102	817	19020
103	825	19013
104	833	19012
105	841	18994
106	848	18976
107	855	18950
108	863	18932
109	870	18907
110	880	18952
111	888	18941
112	897	18957
113	908	19021
114	917	19019
115	926	19030
116	934	19030
117	943	19051
118	950	19017
119	958	19014
120	966	19007
121	974	19002
122	980	18954
123	987	18925
124	995	18905
125	1003	18913
126	1012	18923
127	1022	18945
128	1029	18924
129	1038	18938
130	1047	18941
131	1057	18963
132	1066	18973
133	1079	19057
134	1087	19059
135	1096	19068
136	1104	19058
137	1112	19048
138	1120	19039
139	1128	19019
140	1136	19010
141	1144	19001
142	1154	19022
143	1162	19023
144	1170	19006
145	1177	18981
146	1187	19012
147	1196	19011
148	1204	19008
149	1213	19005
150	1220	18985
151	1227	18955
152	1234	18938
153	1242	18929
154	1250	18919
155	1258	18911
156	1266	18901
157	1273	18871
158	1280	18851
159	1288	18846
160	1295	18827
161	1303	18805
162	1310	18782
163	1317	18771
164	1326	18766
165	1340	18841
166	1347	18820
167	1354	18801
168	1362	18791
169	1369	18767
170	1376	18743
171	1383	18729
172	1391	18715
173	1399	18703
174	1406	18685
175	1414	18680
176	1421	18658
177	1428	18633
178	1435	18616
179	1444	18614
180	1452	18609
181	1459	18591
182	1468	18587
183	1475	18567
184	1483	18557
185	1489	18535
186	1497	18527
187	1505	18509
188	1513	18504
189	1521	18503
190	1528	18481
191	1535	18460
192	1543	18447
193	1551	18437
194	1558	18417
195	1565	18400
196	1571	18376
197	1579	18359
198	1586	18347
199	1594	18335
200	1600	18304
201	1607	18290
202	1615	18279
203	1623	18273
204	1631	18259
205	1638	18243
206	1645	18226
207	1652	18210
208	1660	18198
209	1667	18185
210	1675	18175
211	1683	18165
212	1690	18152
213	1698	18139
214	1706	18134
215	1714	18126
216	1722	18122
217	1730	18115
218	1738	18112
219	1747	18109
220	1754	18089
221	1762	18082
222	1770	18074
223	1777	18059
224	1784	18043
225	1791	18030
226	1799	18013
227	1807	18011
228	1814	17998
229	1822	17986
230	1829	17971
231	1837	17963
232	1839	17899
233	1847	17889
234	1854	17874
235	1862	17863
236	1869	17851
237	1876	17838
238	1884	17825
239	1892	17818
240	1900	17813
241	1908	17806
242	1915	17790
243	1922	17777
244	1931	17776
245	1940	17775
246	1946	17757
247	1953	17740
248	1961	17736
249	1970	17730
250	1977	17714
251	1984	17704
252	1993	17703
253	1999	17684
254	2006	17668
255	2014	17657
256	2021	17647
257	2029	17634
258	2036	17620
259	2043	17608
260	2050	17593
261	2058	17585
262	2066	17577
263	2073	17557
264	2080	17543
265	2088	17542
266	2096	17534
267	2105	17533
268	2113	17526
269	2120	17516
270	2127	17500
271	2134	17485
272	2142	17476
273	2150	17467
274	2157	17457
275	2164	17438
276	2171	17426
277	2178	17414
278	2186	17405
279	2193	17391
280	2200	17380
281	2207	17362
282	2214	17349
283	2222	17341
284	2230	17331
285	2237	17321
286	2244	17309
287	2252	17299
288	2259	17289
289	2267	17281
290	2274	17267
291	2282	17259
292	2290	17255
293	2297	17241
294	2306	17238
295	2314	17232
296	2322	17228
297	2329	17215
298	2337	17209
299	2345	17200
300	2353	17193
301	2360	17179
302	2369	17179
303	2377	17173
304	2384	17160
305	2391	17150
306	2399	17137
307	2424	17258
308	2434	17263
309	2458	17368
310	2467	17369
311	2476	17368
312	2484	17358
313	2491	17347
314	2499	17339
315	2506	17324
316	2513	17307
317	2522	17306
318	2530	17299
319	2538	17290
320	2544	17275
321	2551	17261
322	2559	17250
323	2567	17243
324	2574	17232
325	2583	17227
326	2590	17212
327	2598	17203
328	2605	17193
329	2611	17173
330	2619	17165
331	2627	17155
332	2634	17146
333	2643	17140
334	2651	17133
335	2657	17118
336	2665	17109
337	2673	17100
338	2680	17087
339	2687	17072
340	2695	17066
341	2703	17057
342	2711	17053
343	2719	17046
344	2728	17043
345	2737	17039
346	2744	17026
347	2751	17016
348	2758	17001
349	2765	16991
350	2773	16978
351	2781	16972
352	2789	16963
353	2797	16956
354	2805	16949
355	2813	16942
356	2820	16932
357	2829	16931
358	2836	16914
359	2843	16903
360	2851	16894
361	2859	16886
362	2866	16876
363	2874	16866
364	2876	16824
365	2882	16809
366	2890	16797
367	2897	16787
368	2905	16782
369	2914	16775
370	2920	16761
371	2928	16752
372	2935	16739
373	2942	16728
374	2950	16720
375	2957	16707
376	2964	16696
377	2972	16685
378	2980	16677
379	2988	16670
380	2995	16659
381	3002	16649
382	3011	16645
383	3013	16606
384	3020	16592
385	3028	16584
386	3035	16576
387	3042	16560
388	3048	16545
389	3057	16540
390	3065	16532
391	3074	16530
392	3081	16519
393	3084	16489
394	3092	16479
395	3099	16468
396	3108	16465
397	3116	16457
398	3124	16450
399	3131	16440
400	3139	16435
401	3146	16419
402	3152	16405
403	3160	16398
404	3168	16391
405	3177	16386
406	3184	16375
407	3192	16367
408	3199	16357
409	3206	16344
410	3214	16336
411	3221	16327
412	3230	16322
413	3237	16313
414	3245	16303
415	3252	16293
416	3259	16282
417	3266	16271
418	3274	16262
419	3281	16250
420	3289	16246
421	3297	16236
422	3305	16231
423	3312	16218
424	3319	16207
425	3325	16189
426	3332	16180
427	3340	16174
428	3347	16161
429	3354	16150
430	3362	16139
431	3369	16132
432	3377	16120
433	3383	16108
434	3391	16101
435	3399	16091
436	3408	16090
437	3416	16083
438	3424	16075
439	3432	16070
440	3438	16053
441	3448	16054
442	3454	16042
443	3464	16040
444	3474	16046
445	3487	16060
446	3497	16063
447	3507	16064
448	3515	16058
449	3524	16056
450	3531	16044
451	3541	16046
452	3549	16037
453	3557	16031
454	3564	16021
455	3575	16028
456	3592	16059
457	3601	16056
458	3612	16061
459	3627	16087
460	3643	16113
461	3652	16111
462	3667	16137
463	3691	16196
464	3707	16223
465	3725	16262
466	3732	16247
467	3743	16252
468	3756	16269
469	3765	16264
470	3774	16259
471	3783	16257
472	3786	16226
473	3795	16221
474	3804	16217
475	3812	16209
476	3820	16203
477	3828	16193
478	3838	16195
479	3841	16167
480	3849	16158
481	3857	16151
482	3866	16148
483	3875	16143
484	3884	16140
485	3892	16132
486	3901	16127
487	3910	16124
488	3918	16116
489	3921	16085
490	3929	16076
491	3937	16069
492	3944	16059
493	3952	16051
494	3960	16041
495	3968	16032
496	3976	16026
497	3984	16018
498	3991	16005
499	3999	15997
500	4008	15992
501	4015	15982
502	4022	15969
503	4031	15965
504	4039	15956
505	4040	15923
506	4047	15911
