iter	Passed	Remaining
0	62	62032
1	118	58884
2	161	53657
3	215	53582
4	265	52890
5	315	52226
6	368	52294
7	419	51958
8	475	52373
9	532	52677
10	585	52672
11	634	52229
12	683	51926
13	736	51837
14	787	51744
15	838	51591
16	887	51292
17	938	51175
18	991	51183
19	1048	51378
20	1105	51545
21	1150	51129
22	1210	51406
23	1259	51218
24	1311	51155
25	1362	51057
26	1412	50896
27	1469	51005
28	1522	50984
29	1573	50891
30	1636	51163
31	1688	51075
32	1735	50860
33	1786	50769
34	1845	50889
35	1897	50803
36	1947	50698
37	2001	50681
38	2057	50695
39	2110	50642
40	2160	50537
41	2216	50557
42	2264	50407
43	2307	50144
44	2358	50054
45	2408	49943
46	2459	49865
47	2511	49818
48	2562	49730
49	2614	49668
50	2670	49692
51	2722	49639
52	2771	49528
53	2820	49417
54	2872	49349
55	2929	49376
56	2978	49278
57	3027	49167
58	3077	49086
59	3131	49057
60	3185	49030
61	3232	48897
62	3282	48815
63	3332	48731
64	3377	48589
65	3426	48487
66	3477	48432
67	3534	48449
68	3582	48338
69	3639	48351
70	3692	48308
71	3744	48265
72	3796	48213
73	3846	48129
74	3903	48138
75	3953	48070
76	3998	47930
77	4048	47854
78	4102	47827
79	4151	47740
80	4206	47729
81	4258	47673
82	4315	47681
83	4363	47586
84	4408	47452
85	4458	47383
86	4509	47323
87	4562	47286
88	4617	47259
89	4664	47159
90	4713	47078
91	4769	47075
92	4823	47042
93	4874	46977
94	4926	46934
95	4977	46868
96	5030	46831
97	5085	46808
98	5136	46751
99	5191	46725
100	5249	46724
101	5303	46691
102	5359	46670
103	5414	46646
104	5461	46554
105	5515	46517
106	5564	46441
107	5620	46419
108	5676	46405
109	5727	46337
110	5780	46293
111	5834	46262
112	5886	46206
113	5932	46110
114	5983	46049
115	6035	45996
116	6084	45922
117	6142	45912
118	6192	45844
119	6240	45761
120	6295	45736
121	6349	45698
122	6401	45646
123	6458	45622
124	6504	45532
125	6552	45453
126	6601	45376
127	6654	45336
128	6707	45291
129	6758	45230
130	6813	45200
131	6871	45182
132	6922	45128
133	6979	45105
134	7029	45042
135	7093	45066
136	7157	45086
137	7213	45059
138	7261	44978
139	7313	44923
140	7368	44889
141	7416	44813
142	7466	44747
143	7522	44717
144	7581	44702
145	7636	44671
146	7691	44633
147	7747	44602
148	7802	44560
149	7857	44525
150	7897	44401
151	7953	44369
152	8009	44342
153	8060	44281
154	8114	44235
155	8171	44211
156	8222	44151
157	8279	44121
158	8334	44085
159	8384	44020
160	8441	43989
161	8496	43950
162	8545	43878
163	8594	43809
164	8642	43735
165	8694	43683
166	8751	43651
167	8802	43593
168	8853	43533
169	8904	43475
170	8957	43427
171	9009	43373
172	9056	43294
173	9110	43251
174	9161	43190
175	9217	43156
176	9267	43090
177	9315	43017
178	9364	42952
179	9441	43010
180	9546	43198
181	9609	43191
182	9665	43150
